QUERY,FREQ,is_question,question_type
teacher appreciation quotes,978,1,unknown
how to build a shower pan,812,1,unknown
where is mica found,817,1,unknown
what causes cheese to mold,289,1,what
how to write a quotation letter,345,1,unknown
what is carpe diem,563,1,what
how to write a formal invitation,251,1,unknown
cfe consulta tu recibo,1169,1,unknown
how did anne frank get caught,628,1,unknown
how to remove chatzum,261,1,unknown
what is the purpose of respiration,295,1,what
what is quebec famous for,395,1,what
what are polyps in the uterus,2191,1,what
musicas e clipes,681,1,unknown
what is graviola,650,1,what
terrenos na zona leste,880,1,unknown
oneida sterling silver,333,1,unknown
what is 3g network,382,1,what
midland tx obituaries,396,1,unknown
easter activities for children,335,1,what
casa e vidio,290,1,unknown
tim horton,613,1,unknown
which camera is the best,339,1,unknown
what is fat tuesday,650,1,what
how did kunta kinte die,801,1,unknown
sbcglobal sign in page,623,1,unknown
casas e sobrados modelos,464,1,unknown
macys printable coupons,6271,1,unknown
what is a theme,1269,1,what
how old is adam levine,996,1,unknown
how do bones repair themselves,617,1,unknown
hello in italian,248,1,unknown
what does prognosis mean,307,1,what
how to make grape syrup html,288,1,unknown
why are rivers important to people,248,1,unknown
what is 20 30 vision,1619,1,what
what is carpet made of,651,1,what
how to detox your body,577,1,unknown
how to cook stuffed mushrooms html,288,1,unknown
what is a plane figure,376,1,what
what is immune system,413,1,what
how to make cheese bread html,1038,1,unknown
rasmussen college,304,1,what
ohio minimum wage,281,1,unknown
how to calculate probability,770,1,unknown
sky fm,921,1,unknown
ladies gruen watches,358,1,unknown
flower stencils,827,1,unknown
how much is rv storage,613,1,unknown
how to cancel membership,923,1,unknown
how to stop a runny nose,662,1,unknown
diabetes what to eat,13096,1,what
what is the density of plywood,251,1,what
how tall is jennifer aniston,311,1,unknown
what is a sugar gliders,312,1,what
what is marketing,1630,1,what
countries in south africa,290,1,what
what is a reciprocal in math,313,1,what
what is babylon search,914,1,what
what is neuropathy of the feet,635,1,what
what is holy basil,350,1,what
what does epidemic mean,286,1,what
what causes stomach ulcers,2578,1,what
nova sw4 2014,799,1,unknown
biofreeze where to buy,384,1,unknown
wining number cash5,304,1,unknown
serie tv,320,1,what
what causes amyloidosis,257,1,what
what is colorectal screening,308,1,what
where to buy moonshine,642,1,unknown
what religion is katrina kaif,2000,1,what
what does the sec do,1173,1,what
what is mercedes benz target market,552,1,what
how many neutrons does magnesium have,546,1,unknown
what is a horses habitat,2088,1,what
how to open,1496,1,unknown
who is zendaya coleman,612,1,who
what is brazil famous for,457,1,what
how to make cinnamon buns,408,1,unknown
what are jeri ryan s measurements,450,1,what
what does selectively permeable mean,367,1,what
how long do you boil artichokes,297,1,unknown
what is a lyme disease,1741,1,what
how make cha lua,278,1,unknown
how to download free music?,469,1,unknown
nestle printable coupons,1415,1,unknown
what size generator,1195,1,what
how much does an ipad cost,876,1,unknown
how to apply for medical,413,1,unknown
price of mercury,382,1,what
what chemicals are in fertilizer,364,1,what
old cowboy pictures,451,1,what
gain weight for skinny girls,2664,1,what
how to make liquid starch,477,1,unknown
how does the spinning jenny work,671,1,unknown
how to enter cheat codes,729,1,unknown
what is ecoli,444,1,what
how to write a cheque,253,1,unknown
what is bbbj,323,1,what
spanish cake recipes,418,1,unknown
how to make pesto sauce shtml,776,1,unknown
how to write excuse absent letter,4946,1,unknown
what are symptoms of uti,695,1,what
famous logos trademarks,283,1,unknown
who is the president of mexico,292,1,who
help me solve a cryptic clue,278,1,what
free webcam broadcast chat,961,1,unknown
how much did abraham lincoln weigh,654,1,unknown
silver certificate appraisals,384,1,unknown
supercuts printable coupons,13689,1,unknown
where to buy itching powder,305,1,unknown
who discovered the element iron,722,1,who
what is maca powder benefits,2549,1,what
tatimet e mia,742,1,unknown
marilyn hickey prayer request,695,1,unknown
how to boil shrimp,643,1,unknown
where did gandhi die,455,1,unknown
amazons phone number,1262,1,unknown
hotels in downtown gatlinburg tn,283,1,unknown
mercedes sprinter usados,274,1,unknown
how test an ignition coil shtml,777,1,unknown
what is an allusion,498,1,what
how to install stereo,275,1,unknown
how much does the moon weigh,251,1,unknown
wileyplus access code,274,1,unknown
what causes petechiae,527,1,what
sleeping with sirens,673,1,what
what is pdf format,733,1,what
what does mercantilism mean,673,1,what
how to plant amaryllis,251,1,unknown
what is information technology,707,1,what
dtw parking coupons,265,1,unknown
how to clean laminate flooring,868,1,unknown
who is dr  chauncey crandall,322,1,who
what is stress,1782,1,what
what is the femur bone,436,1,what
what isf bond,333,1,what
tv en vivo futbol,4456,1,what
non alcoholic italian beverage recipes html,1925,1,unknown
what is monotheism,368,1,what
polsky tv,528,1,what
what is chronological order,11789,1,what
what is the capital of illinois,330,1,what
what is my astrology sign,262,1,what
what is the cure for diabetes,651,1,what
what does kappa mean,1253,1,what
how to tan quick outside,399,1,unknown
who discovered the golden ratio,441,1,who
up to the minute sports scores,587,1,unknown
why is corporate governance important,440,1,unknown
wic texas,297,1,what
what does ego mean,1415,1,what
picture spider bite,2674,1,unknown
how to gain weight for women,767,1,unknown
what does the spinal cord do,404,1,what
kohls locations in nj,289,1,unknown
what does the name lauren mean,266,1,what
